arise	xuất hiện, nảy sinh, nổi lên	To arise is to happen. Difficulties arose with his computer because it was old.	
crown	mũ miện; ngôi vua	A crown is the hat worn by a king or queen. The crown is made o f gold.	
departure	sự ra đi, sự khởi hành	A departure is the act of leaving a place. They were excited about their departure back home.	
diligent	chuyên cần, cần cù	If someone is diligent, they work hard and are careful. Craig has always been a very diligent person at work.	
emperor	hoàng đế	An emperor is the leader of a group of countries. The emperor Julius Caesar was in control o f ancient Rome.	
fiber	(sinh vật học) sợi, thớ	Fiber is a thread of a substance used to make clothes or rope. The mat was made from tiny fibers.	
horrible	khủng khiếp	If something is horrible, it is very bad. The assignment was horrible. I hated it.	
impolite	vô lễ	If someone is impolite, they are rude. Roger is im polite to everyone he meets.	
kneel	[+ down] quỳ gối	To kneel is to put one or both knees on the ground. Daryl got down on one knee and asked Nina to marry him.	
luxury	sự sang trọng, sự xa hoa	A luxury is an expensive thing that you do not need. We stayed at a luxury resort for our honeymoon.	
massive	đồ sộ, khổng lồ; rất lớn	If something is massive, it is very big. The wheels on his truck were massive.	
panic	sự hoảng sợ, sự hốt hoảng	To panic is to feel so nervous or afraid that you cannot think clearly. Everyone panicked when the house caught on fire.	
priority	vị trí hàng đầu	A priority is something that is more important than other things. My priority is to get good grades in school.	
robe	(thường số nhiều) áo choàng (của thẩm phán, thầy tu…)	A robe is a long, loose piece of clothing. Many people wear robes in the morning.	
scold	rầy la, mắng mỏ, mắng (ai, về việc gì)	To scold means to criticize one angrily because they have done wrong. Jesse was scolded by the teacher for not paying attention.	
affair	công việc	An affair is an event or a thing that happened. My wife and I attended a formal affair over the weekend.	
assembly	cuộc họp	An assembly is a group that is together for the same reason. The students had an assembly to talk about their interests.	
bless	cầu Chúa ban phúc cho	To bless is to ask God for protection or help. The angel blessed the newborn baby to keep it safe.	
cereal	ngũ cốc	Cereal is a food that you mix with milk and eat for breakfast. Cereal is a fast and common breakfast food enjoyed in the U.S.	
cheerful	vui, phấn khời, hớn hở, tươi cười	If someone is cheerful, they are happy or feel good. The children were cheerful because they didn't have to go to school.	
diameter	đường kính	The diameter of a round thing is the length across its center. The diameter o f the tree was about 22 centimeters.	
exploit	kỳ công, kỳ tích	To exploit something is to use it for greedy reasons rather than good reason! The company exploits their workers and makes them stay 12 hours a doy.|	
famine	nạn đói kém	A famine is a long time with little or no food. The farmers couldn't grow any food on the dry soil, so there wasafamm	
harvest	việc thu hoạch; việc gặt	A harvest is the act of collecting food from farming. They had a lot o f wheat from the last harvest.	
merry	vui, vui vẻ	If someone is merry, they are very happy. They felt merry because the weather was great.	
nut	(thực vật) quả hạch	A nut is a hard seed or fruit that comes from some trees and bushes. To eat a nut, first you have to crack its shell.	
pardon	sự tha thứ; sự thứ lỗi	To pardon is a way to ask someone to repeat what was said before. Pardon me teacher, but could you repeat what you just said?	
pharaoh	vua Ai cập	A pharaoh was a king in ancient Egypt. The pharaohs ruled Egypt for thousands o f years.	
ripe	chín, tới độ	When a fruit is ripe, it is ready to be eaten. The cherries were nice and ripe.	
roast	quay; nước	To roast something is to cook it in an oven or over a fire. Mom roasted a turkey for the holiday dinner.	
routine	lề thói đã quen; nếp cũ	A routine is a way of doing things that is the same every time. My father's daily routine includes shaving right before breakfast.	
scheme	kế hoạch	A scheme is a plan or design. Mickey and Minnie came up with a scheme to solve the problem.	
slim	mảnh mai, thon thả	If something or someone is slim, they are thin. Look at my new cell phone. It's very slim.	
stove	cái lò	A stove is a device used to cook food. Our new stove helps us to cook food much faster than before.	
theft	sự trộm cắp	A theft is a criminal act that involves someone stealing something. The theft o f his TV took place when he was at work.	
adolescent	tuổi thiếu niên	An adolescent is a young person or a teenager. The adolescent was excited about getting a skateboard for his birthday.	
aptitude	khiếu; khả năng	Aptitude is a natural ability or skill. He has a natural aptitude for water skiing.	
compliment	lời khen, lời khen ngợi	To compliment is to say a nice thing about someone or something. Her co-worker complimented her for doing a good job.	
hinder	cản trở	To hinder is to keep someone or something from doing something. All the traffic hindered me from getting to work on time.	
journalism	nghề làm báo	Journalism is the work of collecting the news to put in newspapers or on TV. Before becoming a teacher, she worked in journalism.	
jury	bồi thẩm đoàn	A jury is a group of people that listen to a trial and say if someone is guilty. The jury listened closely to the attorney before they made their decision. I	
justice	sự công bằng	Justice is fairness in the way that you treat other people.People turn to the court system when they are seeking justice.	
liberty	sự tự do	Liberty is freedom to do what you want. To many people, the Statue o f Liberty is a symbol o f freedom.	
literary	[thuộc] văn chương, [thuộc] văn học	If someone or something is literary, it is involved with literature in some way He worked hard to create a successful literary career.	
pharmacy	dược khoa	A pharmacy is a place where medicine is sold. My mother sells medicine to people at the pharmacy.	
pill	(dược phẩm) viên tròn	A pill is a small object that has medicine inside. She took a p ill for her headache.	
presume	cho là [đúng], cầm chắc là; coi là	To presume is to believe something is true without being certain. Since he raised his hand, the teacher presumed he knew the answer.	
privacy	sự sống một mình không bị ai quấy rầy, sự cách biệt	To have privacy is to be away from other people. Please hang the sign on the door so we can have some privacy.	
punishment	sự trừng phạt, sự trừng trị	A punishment is something that one must endure for any wrongdoing. He was given a punishment for being rude to the teacher.	
sensible	biết điều; hợp lý	If someone is sensible, they make good decisions. It was sensible for her to save some money each month.	
slice	lát	A slice is a piece from something larger, such as a cake. The g irl enjoyed a slice o f cake at her birthday party.	
sorrow	sự buồn rầu, sự buồn phiền	Sorrow is a very sad feeling. The g irl felt sorrow after her best friend moved away.	
straw	rơm	A straw is a thin tube that is used to suck liquid into the mouth. I drank the orange juice through a straw.	
swell	[làm] sưng lên	To swell is to become larger and rounder. My sister's stomach began to swell after she got pregnant.	
tidy	sạch sẽ, gọn gàng	When something is tidy, it is clean and in order. Leon has always been a very tidy boy.	
affection	sự yêu mến; lòng thương yêu	Affection is a feeling of liking someone or something.Amanda has a lot o f affection for her little sister Sarah.	
agency	đại lý, chi nhánh	An agency is a business or service set up to act for others. I went to a travel agency to help me arrange a flig h t home.	
ash	tần bì (cây, gỗ)	Ash is the grey or black powder created when something is burned. The end o f his cigar was full o f ashes.	
confine	giam giữ, nhốt	To confine something is to keep it in one place. The elephant is confined to a cage in the zoo.	
dismiss	sa thải, thải hồi	To dismiss something is to say it is not important. He quickly dismissed my idea about a new project.	
erupt	phun trào (nói về núi lửa)	To erupt is for a volcano or something to shoot a hot substance. The volcano erupted for the first time in ten years.	
fate	định mệnh	Fate is a power that causes some things to happen. Some people believe that a person's hand can tell their fate.	
lava	dung nham	Lava is the hot substance made of melted rock that shoots from volcanoes. The red hot lava poured from the volcano.	
miserable	khốn khổ	If someone is miserable, they are very unhappy. He was miserable after his dog died.	
navigate	định vị	To navigate something is to control the way it moves or goes. She navigated the ship across the ocean.	
originate	bắt nguồn từ, khởi đầu từ	To originate somewhere is to start there. The idea o f democracy originated in Ancient Greece.	
remainder	phần còn lại, số còn lại	The remainder of something is what is left. He took a bite o f the apple, then gave me the remainder o f it.	
retrieve	lấy lại, tìm lại được	To retrieve something is to find it and get it back. She retrieved her mail from the mail box.	
shallow	nông, cạn, không sâu	If something is shallow, it is not deep. The kids were playing in the shallow water.	
slope	mặt nghiêm	A slope is ground that is not flat. The slope to the top o f the mountain was very steep.	
span	nhịp (cầu…), khoảng thời gian	To span a length of time is to last that long.His work began in 1999. It has spanned many years since then.	
superstition	sự mê tín, sự dị đoan	A superstition is something magical that people believe is real.It is a superstition that Friday the 13th is an unlucky day.	
sympathy	sự thông cảm, sự đồng cảm	Sympathy is a feeling of being sad for another person. I felt sympathy for my sister so I got her a balloon to cheer her up.	
vibrate	lúc lắc, rung	To vibrate is to shake very hard. The machine made his whole body vibrate as he broke up the ground.	
wander	lang thang, đi thơ thẩn	To wander is to walk without going to a certain place. The boys like to wander in the woods and look at birds.	
armor	áo giáp	Armor is metal worn by soldiers to protect the body. The soldier wore armor to protect his body.	
blaze	ngọn lửa cháy rực	To blaze means to burn brightly or powerfully. The small fire soon blazed into a large dangerous one.	
boom	nổ đùng đùng	To boom means to make a loud, deep sound. The firecrackers made a loud boom when they exploded.	
cliff	vách đá (sát biển)	A cliff is a high and often flat wall of rock. The w olf stood at the c liff and howled.	
flame	ngọn lửa	A flame is part of fire. The torch was filled with yellow and orange flames.	
independence	sự độc lập; nền độc lập	Independence is the state of being free from the control of others. After leaving home, Sophia had a great feeling o f independence.	
invasion	sự xâm lăng	An invasion is an attack by a group from another country. In Korea, walls were built around cities to protect them from invasions.	
knight	hiệp sĩ	A knight is a soldier of high rank and skill who usually serves a king. He was the best soldier, so the king made him a knight.	
lightning	tia chớp	Lightning is the bright light seen during a storm. The lightning flashed above the water.	
rebel	người nổi loạn	A rebel is a person who fights the government in order to change it. The rebel had enough o f the government's unfair polices.	
retreat	rút lui, lui quân	To retreat means to run away because you have been beaten in a fight. The army retreated because they were losing the battle.	
revolution	cuộc cách mạng	A revolution is a change to the political system by a group of people. The revolution in Russia led to the creation o f the Soviet Union.	
spear	cái giáo, cái mác	A spear is a long stick with a blade on one end that is used as a weapon. The soldier was holding a spear in his hand.	
steep	dốc đứng	If something is steep, then its slope or angle rises or falls sharply. He rode his bike up the steep hill to reach the top.	
summit	chóp, đỉnh (núi)	A summit is the highest part of a hill or mountain. Snow covered the sum m it o f the mountain even during the summer.	
thunder	sấm	Thunder is the loud noise heard during a storm. The sound o f the thunder startled me.	
troops	đoàn, đàn, toán	Troops are soldiers that fight in groups in a battle. The troops were all prepared to go into battle.	
warrior	chiến sĩ	A warrior is a brave soldier or fighter. The samurai were some o f the most skilled warriors in the ancient world.	
withdraw	rút lại; thu hồi	To withdraw means to leave a place, usually during war. After losing the battle, the enemy withdrew back to its own country.	
yield	sinh ra, sản ra, mang lại	To yield something means to give up control of it or to give it away. He had to yield his turn because he was in checkmate.	
bench	ghế dài	A bench is a long seat for two or more people. Most parks have benches for citizens to relax upon.	
confront	chạm trán, đối đầu	To confront a hard situation or person is to deal with it. The couple has to confront each other about their problems.	
daisy	hoa cúc; cây cúc	A daisy is a small flower with white petals and a yellow center. There were a few daisies growing in the field.	
dispute	sự tranh cãi; cuộc tranh cãi	A dispute is an argument or disagreement that people have. Karen and Brian often have disputes about silly things.	
horror	sự khiếp sợ	Horror is a feeling of being very afraid or shocked. The audience screamed in horror when the ghost appeared in the movie.	
incident	sự cố	An incident is an event that is usually not pleasant. Mr. Wilson had an incident where he became sick and had to leave.	
mist	mù	Mist is water that you can see in the air or on a surface. The forest was covered with mist.	
object	đồ vật; vật	An object is an inanimate thing that you can see or touch. The shopping cart was filled with objects.	
orphan	trẻ mồ côi	An orphan is a child who does not have parents. The orphan frequently cried during the night.	
plot	mảnh [đất]	To plot is to make a secret plan to do something that is wrong or mean. The group was plotting to ruin the company's financial reports.	
pregnant	có thai, có mang	When a female is pregnant, she is going to have a baby. The pregnant woman was shopping for baby clothes.	
rage	cơn thịnh nộ	Rage is a very angry feeling. The chef was filled with rage when his helpers ruined the meal.	
revenge	sự trả thù	Revenge is what you do to hurt or punish someone who hurts you. He broke his sister's doll as revenge after she lost his favorite book.	
shame	sự thẹn, sự ngượng; sự xấu hổ	Shame is a bad feeling about things you have done wrong. The boy felt shame about misplacing his clothes.	
sigh	thở dài	To sigh is to breathe out loudly and show that you are tired or sad. Molly sighed when she looked at all the information she had to research.	
sneak	mách	To sneak is to move quietly so that no one hears or sees you. The thief snuck out o f the house without anyone noticing him.	
spare	thừa, dư, dự trữ	To spare something is to give it because you have more than you need. I wanted to help him but I couldn't spare a tire.	
stem	thân (cây); cuống (lá, hoa)	The stem of a plant is the stick that grows leaves or flowers. The rose had a long thin stem.	
supper	bữa ăn tối	Supper is a meal that is eaten in the evening.We usually have supper around 6 o 'clock at my house.	
tender	mềm yếu, yếu ớt	When something is tender, it is soft and easy to chew. The meat was so tender they didn't need knives to cut it with.	
beneath	dưới, không đáng, không xứng	If something is beneath something else, it is under it. The largest part o f an iceberg lies beneath the waterline.	
cub	con thú con (hổ, sói, gấu, cáo…)	A cub is a baby animal, such as a bear or lion. The lion cub was crying for its mother.	
dawn	bình minh, lúc sáng sớm	Dawn is the time of day when the sun rises. At dawn, the sun gently rose over the farm.	
dissatisfied	không hài lòng, không vừa ý	Ifyou are dissatisfied, you are not happy with something. I was dissatisfied with their decision to work on Sunday.	
ease	sự thoải mái, sự thanh thản	When something is done with ease, it is not hard to do. The monkey climbed the tree with ease.	
evident	hiển nhiên, rõ rệt	When something is evident, it is easy to see or understand. It was evident from the look on his face that he was unhappy.	
hail	mưa đá	Hail is ice that falls from the sky when rain freezes. The hail from the storm was the size o f g o lf balls.	
howl	tiếng tru (chó sói)	To howl means to make a long, loud sound like a wolf or a dog. The w olf howled at the moon.	
leap	nhảy vọt, nhảy	To leap means to jump a long distance. He had to leap over the gap to reach the other side o f the hill.	
magnificent	tráng lễ, lộng lẫy	When something is magnificent, it is beautiful and grand. The man gave his wife a pair o f magnificent diamond earrings.	
necessity	sự cần thiết, hoàn cảnh bắt buộc	A necessity is something that is needed. Fresh water is a necessity for life.	
outcome	hậu quả, kết quả	An outcome is the end of an action or event. The outcome o f his latest business plan was a complete failure.	
pile	trụ (cầu…), cọc, cột (nhà sàn...)	A pile is a large group of things on top of one another. The pile o f cups was beginning to tilt.	
profound	sâu; cực kỳ; tột bậc; rất lớn	When something is profound, it is very intelligent. For a little boy, Jeremy has some profound thoughts.	
seize	vồ, chộp, túm	To seize something means to grab it quickly or strongly. The man seized as much money as he could before anyone could see him.	
squeeze	ép, vắt, bóp	To squeeze something means to press it together and hold it tightly. When Clara saw her cat, she gave it a big squeeze.	
supreme	tối cao	When something is supreme, it is the highest or best. The supreme officer was in charge o f keeping the citizens calm.	
terrific	kinh khủng	When something is terrific, it is very good. My youngest daughter is a terrific painter.	
trait	nét, đặc điểm	A trait is part of someone's personality. One trait o f Salvador's personality is his cheerfulness.	
vital	[thuộc sự] sống; cần cho sự sống	When something is vital, it is necessary for life. The heart is a vital organ.	
accustomed	thường lệ, quen thuộc	When you become accustomed to something, you are in the habit of it. Grandfather is accustomed to reading the newspaper every morning.	
affirm	khẳng định	To affirm is to say that something is true. Using a graph, Malcolm affirmed the success o f the company.	
astonished	kinh ngạc	If someone is astonished, they are very surprised or shocked. 1 was astonished when he pulled the live rabbit out o f his hat.	
bang	đập mạnh	To bang is to hit something to make a noise. The drummer banged on his drum as he marched in the parade.	
clan	thị tộc	A clan is a group of relatives or friends. The Lee clan meets every year to celebrate the New Year.	
dim	mờ, lờ mờ	When something is dim, it does not give out much light. Working in a dim room is bad for your eyes.	
emphasis	sự nhấn mạnh	Emphasis is special attention or importance. The students put special emphasis on chapter 4 because it will be on the test.	
fable	truyên ngụ ngôn	A fable is a short story that teaches a lesson. In the fable about the tortoise and the hare, the lesson is consistency.	
feast	bữa tiệc, ngày lễ hội	A feast is a large meal for many people. At Thanksgiving, I enjoy a wonderful feast with my family.	
glow	rực sáng	To glow is to make a soft light. The small flame glowed softly.	
hollow	rỗng	When something is hollow, it has an empty space inside. Straws are hollow, so liquid can flow through them.	
instinct	bản năng	Instinct is the natural way that people behave without thinking about it. Cats hunt mice because o f instinct.	
joint	khớp (xương)	A joint is a place of the body where the bones meet, such as the knee. Two important bones in your leg meet at a jo in t in your knee.	
leak	lỗ rò, khe hở	To leak is to let a liquid or gas pass through a flaw. The pipe leaks from many places.	
physician	thầy thuốc	A physician is a doctor. The physician said I would feel better if I took my medicine.	
sacrifice	sự hy sinh	To sacrifice something valuable is to give it up to get something else. Her parents sacrificed a lot o f money in order for her to go to college.	
stiff	cứng	When something is stiff, it is hard to move. The bird was standing on the tree's s tiff branch.	
stroke	cú đánh, cơn đột quỵ	To stroke is to move a hand over something or someone. She stroked her cheek to see if there was something on it.	
tragic	[thuộc] bi kịch	When something is tragic, it is connected with death and suffering. The airplane crashed in a tragic accident.	
tune	giai điệu	A tune is a song. The students played a fam iliar tune for the audience.	
accommodate	chứa được, cung cấp	To accommodate is to have enough room. The meeting room can accommodate nine people.	
circus	đoàn xiếc	A circus is a traveling show with animals and people. I like to go to the circus to see the animals do tricks.	
coincide	trùng nhau	If two things coincide, they happen at the same time. My birthday coincides with Christmas.	
commission	nhiệm vụ, phận sự	To commission someone to do something is to pay them to do it. The artist was commissioned to create a picture.	
dose	liều thuốc	A dose is a certain amount of medicine that you take at one time. My mother gave me a dose o f medicine before I went to bed.	
dye	nhuộm	To dye something is to make it a certain color by using a special chemical. Valery got her hair dyed at the salon yesterday.	
extent	mở rộng	The extent of something is how large, important, or serious it is. He ate to such an extent that he became overweight.	
gender	giới tính	Gender is a category that describes being either a boy or a girl. Do you know the gender o f her new baby?	
headline	đề mục, tít (ở báo…)	A headline is the title of a newspaper story. The headline on the front page was about the economy.	
informal	không chính thức, [mang tính chất] khẩu ngữ, thông tục	When something is informal, it is not official. They had an inform al meeting to talk about their experiences.	
inquire	hỏi, dò hỏi	To inquire about something is to ask about it. Dad called to inquire about the price o f tickets for the show.	
messenger	người đưa tin, sứ giả	A messenger is one who carries information from one place to another. The messenger delivered an important document to the office.	
peer	người ngang địa vị	To peer at something is to watch it carefully. She peered at people through the window.	
portrait	chân dung (vẽ, chụp)	A portrait is a painting or photograph of someone. I saw many religious portraits when I went to the museum.	
pose	[đặt] ngồi (đứng) ở một tư thế nào đó (để chụp ảnh, làm mẫu vẽ…)	To pose is to stay in one place without moving. The kids and their dog posed for a picture.	
ranch	nông trại, trại	A ranch is a large farm where animals are kept. My uncle has many horses on his ranch.	
steer	lái (tàu thủy, xe hơi)	To steer something is to control where it goes. He steered the go-cart around the track.	
stripe	sọc, vằn	A stripe is a thick line. The flag o f the United States has red and white stripes.	
tame	đã thuần hoá	When an animal is tame, it is not afraid to be near people. The tame bird rested on his hand.	
tempt	xúi giục, cám dỗ	To tempt people is to offer them something they want but shouldn't have. I wasn't hungry, but she tempted me with a piece o f my favorite cake.	
Aborigine	thổ dân	An Aborigine is a native of Australia before Europeans lived there. The Aborigines created beautiful artwork.	
ban	cấm	To ban something is to not let people do it. Smoking is banned in this building.	
cautious	thận trọng, cẩn thận	Ifyou are cautious, you are careful in a dangerous situation. Be very cautious as you stack those boxes.	
confess	thú nhận	To confess something is to say that you did it. He confessed that he was responsible for choosing the winning story.	
cottage	nhà tranh, túp lều	A cottage is a small, old house in the countryside. My aunt lives in a pretty cottage in the mountains.	
daytime	ban ngày	Daytime is the time of the day when the sky is light. I only allowed my kids to play outside in the daytime.	
desperate	liều lĩnh tuyệt vọng	Ifyou are desperate, you will try anything to do or change something. I'm desperate to find a new job.	
fade	nhạt, phai, tàn	If something fades, it gets quieter or darker. The piece o f cloth I found was old and faded.	
fierce	hung dữ; dữ tợn	If a person or animal is fierce, they are angry or violent. Wolves are fierce animals. Do not disturb them.	
gamble	đánh bạc	To gamble means to play a game that involves winning or losing money. Many people like to go to casinos to gamble.	
lawn	bãi cỏ	A lawn is an area covered in grass. My dad keeps the lawn in front o f our house very neat.	
mow	cắt, gặt (cỏ… bằng liềm, hái)	To mow grass is to cut it to make it very short. I mow our lawn every weekend.	
outlaw	người bị đặt ra ngoài vòng pháp luật (thời trước)	An outlaw is a criminal who hides from the police. The police passed out posters o f the outlaw to all the people.	
prospect	(cũ) cảnh, tòan cảnh	A prospect is a possibility that something will happen. He wakes up every morning with the prospect o f having a good day.	
purse	ví [tiền]	A purse is a bag where women keep money, makeup and keys. My sister likes to buy designer purses.	
rod	cái que, cái gậy	A rod is a thin stick made of wood or metal. I bought a new fishing rod to use while on vacation.	
seldom	ít khi, hiếm khi	If something seldom happens, it doesn't happen very often. It seldom rains in southern Arizona.	
shave	cạo	To shave means to cut the hairs on your face with a sharp tool. My father shaves his face every day because he doesn't want a beard.	
terrified	khiếp sợ	Ifyou are terrified, you are extremely scared. When I saw the ghost, I was absolutely terrified!	
wizard	thầy phù thủy	A wizard is a man who can do magic. The wizard made gold fall from the sky.	
baggage	hành lý	Baggage is the set of bags that people take with them when they travel. I'm taking several pieces o f baggage with me on vacation.	
bulb	củ (hành, tỏi)	A bulb is the glass part of an electric light. I had to change the light bulb in my bedroom.	
bundle	bó, (số ít) nhiều tiền, đống tiền	A bundle is a number of things that are tied together. I was shocked when he showed me a bundle o f money.	
cattle	gia súc; trâu bò	Cattle are cows and bulls, especially on a farm. The rancher's cattle were eating the grass in the field.	
flee	bỏ trốn, chuồn	To flee means to run away from trouble or danger. The crowd o f men tried to flee from the danger.	
graze	ăn cỏ (súc vật)	To graze means to eat grass. The cows grazed in the field.	
greed	tính ham ăn; thói háu ăn	Greed is a desire to have more than the things that you need. She ate all the cookies out o f her greed.	
herd	bầy, đàn	A herd is a large group of the same type of animals that live together. The herd o f cows moved slowly across the ranch.	
initiate	bắt đầu, khởi xướng	To initiate something means to start it. You have to turn the switch on to initiate the computer system.	
lane	đường làng	A lane is a small road. The lane passes directly in front o f our house.	
luggage	hành lý	suitcases or other bags in which to pack personal belongings for traveling. The young woman's luggage was packed in apparent readiness to travel to California.	
nerve	dây thần kinh	Nerve is bravery or the belief that you can do something. He has the nerve to think that he can actually wrestle with a lion.	
optimist	người lạc quan	An optimist is somebody who sees the good parts of a situation. Even though he has physical problems, my brother is an optimist.	
parade	(quân sự) sự tập hợp (để kiểm tra)	A parade is a celebration when groups of people walk in the same direction. There were many marching bands in the spring parade.	
pave	lát (đường, sàn…)	To pave the ground is to lay material on it to make it easier to walk or drive on. The path was paved with yellow bricks.	
phantom	ma, bóng ma, ảo tượng, ảo tưởng	A phantom is a ghost or spirit. A scary phantom appeared from out o f the darkness.	
portable	có thể mang theo	Something that is portable is able to be moved or carried easily. Since computers are portable, people can use them anywhere.	
poster	tranh in khổ lớn	A poster is a written announcement that is used to advertise something. I saw a poster about a free concert in the park.	
scratch	cào, làm xước	To scratch is to make small cuts with a claw or fingernail. I used a stick to scratch my back.	
symphony	khúc giao hưởng	A symphony is a long piece of music performed by many musicians. Alex, a violin player, has always dreamt o f playing a symphony.	
widow	người đàn bà góa, quả phụ	A widow is a woman whose husband has died. The widow had no children and was very lonely.	
circulate	lưu thông, tuần hòan	To circulate something is to spread it quickly. The fan helped to circulate cool air through the room.	
consequent	do ở, bởi ở, là hậu quả của	Consequent means happening because of a different situation. Her consequent rash came after she touched the poison ivy.	
derive	thu được từ	To derive something from another source means to get it from that thing. Red's nickname was derived from the color o f her hair.	
drown	chết đuối	To drown is to die from not being able to breathe underwater. He would have drowned if the sailors would not have rescued him.	
dynasty	triều đại	A dynasty is a series of rulers who are all from the same family. The ancient Egyptians had a dynasty that lasted for many years.	
fraction	phần nhỏ	A fraction is a small part of something. Only a fraction o f the cake was gone.	
frost	thời tiết băng giá	Frost is a white layer of ice that forms during very cold weather. In the morning, the trees were all covered with frost.	
illusion	ảo tưởng	An illusion is something that looks real, but doesn't actually exist. Some pictures create an illusion for the eyes.	
invade	xâm lăng	To invade is to take over a place by force. The enemy forces tried to invade our country through the air.	
lieutenant	trung úy	A lieutenant is a rank in the military or police, or a person with that rank. The lieutenant was a good leader, and his soldiers respected him.	
marine	[thuộc] biển	The word marine describes something related to the sea. A healthy ocean is full o f marine animals.	
merit	giá trị, xứng đáng	The merit of something or someone is their good qualities. The actor received an award for his merits in the movie.	
navy	hạm đội	A navy is the part of a country's military that fights at sea. My country is known for our strong navy.	
polar	[thuộc] địa cực; gần địa cực	Polar relates to the cold places on Earth's north and south ends. Only a few people live in the Earth's northern polar region.	
ray	tia	A ray is a line of light that comes from a bright object. The sun's warm rays covered the beach.	
resign	(+ from) từ chức	To resign means to quit a job. After I officially resigned from work, I said goodbye to my boss.	
suicide	sự tự sát; vụ tự sát	Suicide is the act of killing oneself. Some people feel so sad that they think suicide is the only answer.	
tremble	rung	To tremble is to shake as a result of cold weather. Harry was not used to the cold, so he trembled most o f the day.	
underlying	nằm dưới, dưới	When something is underlying, it is a hidden cause of something else. Her underlying fear o f flying reduced her traveling options.	
via	qua	To travel via something means to travel through or using something. We arrived in the city from the airport via the train.	
alter	thay đổi, đổi	To alter something means to make a small change to it. I altered the color o f my nails to match my hair.	
aside	về một bên, sang một bên	If someone stands aside, they are on or to one side. The man stood aside and opened the door for me.	
autumn	mùa thu	Autumn is the season of the year between summer and winter. I love when the leaves fall in autumn because I can play in them.	
blend	trộn, pha trộn	To blend is to mix two or more things together so that they become one thing My wife blended together all o f the ingredients to make a delicious stew.	
collapse	đổ, sập, đổ sập	To collapse is to fall down suddenly. The tree collapsed right in front o f our house.	
crush	đè nát, nghiền nát	To crush something is to press it together so its shape is destroyed. Selena's new car was crushed when something fell on top o f it.	
curve	đường cong	To curve is to move in a line that bends and does not go straight. The road curves to the left and to the right.	
disgusting	làm ghê kinh tởm, làm kinh tởm	If something is disgusting, it is very unpleasant. After running all day, Greg's feet had a disgusting odor.	
drain	cống, rãnh, mương, máng	A drain is a pipe that carries away water from a building, such as in a kitchen. The water in the sink goes down the drain as you wash your hands.	
embrace	đón nhận	To embrace is to hug. When they saw each other again, the happy couple embraced.	
envy	sự ghen tỵ, sự đố kỵ	To envy someone is to wish that you had something that they have. Sally envied the happy couple.	
fireworks	pháo hoa	Fireworks are objects that create colored lights when they are lit. The display o f fireworks was so beautiful.	
flour	bột	Flour is a powder made from plants that is used to make foods like bread. I wanted to bake a pie, but I needed flour.	
fuse	ngòi nổ, kíp nổ	A fuse is a string that you light on fireworks to make them explode. The boy lit the fuse on the rocket and waited for it to burst in the sky.	
ginger	gừng	Ginger is a spice from the root of a plant. It tastes spicy and sweet. Ginger is a common ingredient in many dishes from India.	
jealous	ghen, ghen tuông	Ifyou are jealous, you think someone might take something from you. Miriam was jealous because Sue was paying too much attention to jim .	
paste	bột nhào	A paste is a thick and smooth substance. My son needed some paste for a school project.	
receipt	sự nhận [được]	A receipt is a paper that proves that something was received or bought. After looking at my receipt, I realized that I had spent too much money.	
wipe	lau, chùi	To wipe something is to slide a piece of cloth over it to clean it. She wiped the dust from the windows.	
wire	dây (kim loại)	A wire is a thin string made out of metal. The wires were connected to towers that brought electricity to the city.	
acknowledge	thừa nhận, nhận	If you acknowledge something, you accept that it is true or that it exists. The teacher acknowledged that the young student was hungry.	
ambassador	đại sứ	An ambassador is a government worker who works in another country. The ambassador from Korea was in charge ofthe conference.	
blonde	cô gái tóc hoe	If someone is a blonde, they have light-colored hair. My cousin is different from me. She is a blonde with blue eyes.	
conquer	chiếm, chinh phục	To conquer a country means to attack and take control of it. The soldiers were trying to conquer the world.	
drag	cái bừa	To drag something means to pull it across the ground. The dog was dragging his owner down the street.	
exaggerate	phóng đại, thổi phồng	To exaggerate is to say that something is bigger or better than it really is. Jimmy wasn't exaggerating about the seriousness o f his injury.	
heritage	di sản	Heritage is the collection of features of a society, such as language and religi Teepees are part ofthe heritage ofthe American Indians ofthe plains.	
insult	lăng mạ, sỉ nhục	To insult someone is to say things that will hurt their feelings. The girls insulted each other all afternoon.	
meanwhile	trong thời gian đó	Meanwhile means until something happens or while something is happening. He wants to be a doctor in the future, but meanwhile, he works a regularjol	
necklace	chuỗi hạt (đeo ở cổ)	A necklace is a piece of jewelry that people wear around their necks. Joyce received a lovely pearl necklace for her wedding anniversary.	
noble	[thuộc] quý tộc; quý phái	A noble is a rich and powerful person. The Queen invited a noble from a nearby country to dinner.	
precious	quý giá	When something is precious, it is valuable and important. In a desert, water can be more precious than money.	
prejudice	thiên kiến; thành kiến	A prejudice is an unfair opinion about someone before you get to know them. The company's rules against gender prejudice must be enforced.	
rumor	tin đồn	A rumor is a story that may not be true. Carla was spreading rumors around the office.	
sin	tội (về mặt đạo lý)	A sin is something that is wrong for religious reasons. Taking something that doesn't belong to you is a sin.	
spectacle	cuộc trình diễn	A spectacle is an amazing sight. Niagara Falls is quite a spectacle.	
stack	đống, chồng	A stack is a pile of different things. There was a stack o f paperwork on his desk to complete.	
